Model_Size,Training_Step,Trace_Seed1,Trace_Seed2,Avg_Trace,CKA_Similarity,Midpoint_Loss,Avg_Endpoint_Loss,Loss_Barrier
14m,1000,9245.069995117188,13141.252150515293,11193.161072816241,0.963464081287384,4.587754249572754,8.53650951385498,-3.9487552642822266
14m,10000,27319.375,34555.09897641782,30937.23698820891,0.9753697514533997,4.183841705322266,7.77909255027771,-3.5952508449554443
14m,30000,-1289167.75,-235461.546875,-762314.6484375,0.8185219168663025,4.5431904792785645,7.588313102722168,-3.0451226234436035
14m,70000,-35266.234375,1395116.941133721,679925.3533793605,0.7990503311157227,5.83852481842041,56.798638343811035,-50.960113525390625
14m,100000,-669778.8515625,6429075.0,2879648.07421875,0.8199687600135803,6.638823509216309,150.7237434387207,-144.0849199295044
14m,143000,-9888721.697916666,-1747243634.0,-878566177.8489584,0.7101408839225769,7.200675964355469,215.52203369140625,-208.32135772705078
31m,1000,10773.773580496652,8673.161987304688,9723.467783900669,0.981683075428009,3.9032537937164307,8.2908935546875,-4.387639760971069
31m,10000,14196.602596507353,23646.804850260418,18921.703723383886,0.9363458752632141,4.165878772735596,7.573416233062744,-3.4075374603271484
31m,30000,63852.134232954544,34434.58518288352,49143.35970791904,0.9668799638748169,4.423578262329102,7.067469596862793,-2.6438913345336914
31m,70000,53254.40451142282,75679.30649771342,64466.85550456812,0.9710786938667297,4.891109466552734,8.163475275039673,-3.2723658084869385
31m,100000,-1500399.96875,855832.466015625,-322283.7513671875,0.9838672280311584,6.265705108642578,70.61264991760254,-64.34694480895996
31m,143000,785413.2015306122,-795618.9375,-5102.867984693905,0.985755980014801,6.956244468688965,169.73262786865234,-162.77638339996338
70m,1000,18409.964388020835,-5105.5511474609375,6652.206620279949,0.9929671883583069,3.574469804763794,7.857118606567383,-4.282648801803589
70m,10000,10337.11732700893,13222.734678071121,11779.926002540025,0.9786145091056824,3.9657034873962402,6.866780996322632,-2.9010775089263916
70m,30000,19536.878162584806,25490.568868885868,22513.723515735335,0.9780956506729126,4.462849140167236,6.781068325042725,-2.3182191848754883
70m,70000,76535.87581380208,16528.2373046875,46532.05655924479,0.9873892664909363,4.864217758178711,9.763198852539062,-4.898981094360352
70m,100000,119791.090390625,199126.38099888392,159458.73569475446,0.969940185546875,5.519861698150635,30.257297039031982,-24.737435340881348
70m,143000,403174.44921875,-311318.296875,45928.076171875,0.9640854597091675,7.022965908050537,89.93001174926758,-82.90704584121704
160m,1000,20732.454375168374,143.86981201171875,10438.162093590046,0.9818012118339539,5.715950012207031,7.683109521865845,-1.9671595096588135
160m,10000,11284.5810546875,4783.8955293543195,8034.238292020909,0.9743339419364929,4.963132381439209,6.768276691436768,-1.8051443099975586
160m,30000,1577.8883056640625,9705.837383918042,5641.862844791052,0.9689658284187317,5.248076915740967,6.520537614822388,-1.272460699081421
160m,70000,32609.85239545037,27632.91485107422,30121.383623262293,0.9570102095603943,5.383562088012695,6.396892547607422,-1.0133304595947266
160m,100000,79912.3478610131,63963.555783002805,71937.95182200795,0.9737735390663147,5.288846492767334,8.951781749725342,-3.662935256958008
160m,143000,245931.94744001116,153370.53680889422,199651.2421244527,0.9385981559753418,6.234290599822998,27.09085988998413,-20.856569290161133
410m,1000,-16447.788736979168,-3325.1895345052085,-9886.489135742188,0.9860368967056274,5.288504600524902,7.778794527053833,-2.4902899265289307
410m,10000,14125.974221622242,18373.59891183036,16249.7865667263,0.9875529408454895,5.677198886871338,6.569199323654175,-0.8920004367828369
410m,30000,15424.06533203125,17399.6533203125,16411.859326171874,0.9884285926818848,5.505801200866699,6.253913164138794,-0.7481119632720947
410m,70000,28711.70237699468,21500.325593171296,25106.013985082987,0.9950007796287537,5.631415843963623,6.148392200469971,-0.5169763565063477
410m,100000,56562.95578835227,38550.65234375,47556.80406605113,0.9870903491973877,5.595654010772705,6.1067352294921875,-0.5110812187194824
410m,143000,131254.54478236608,101012.20452008929,116133.37465122768,0.9733030200004578,7.258637428283691,6.066304683685303,1.1923327445983887
